SpecificDate,Route,DeliveryDay,Store,City,MilesFromBoulder,ItemCode,Product,PredictedDemand,RecommendedDrop,CurrentDrop,SKUTier,RiskFlag,ShelfCap,ChangeFromCurrent
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2040,CO RO Country Morn,1.0,1,0,MODERATE,WATCH,5.0,1
2025-12-31,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2040,CO RO Country Morn  ,1.0,1,2,MODERATE,WATCH,5.0,-1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2352,CO RO Crckd Wht Sour,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9500,CO RO GF HOME ORIGI,1.0,1,1,STRONG,OK,4.0,0
2025-12-29,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9500,CO RO GF HOME ORIGI ,2.0,2,1,STRONG,OK,4.0,1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9450,CO RO GF SOURDOUGH,1.0,1,1,STRONG,OK,4.0,0
2025-12-31,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9450,CO RO GF SOURDOUGH  ,3.0,3,2,STRONG,OK,4.0,1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9602,CO RO GF Super Seed,1.0,1,0,STRONG,OK,4.0,1
2025-12-29,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9602,CO RO GF Super Seed ,1.0,1,1,STRONG,OK,4.0,0
2026-03-23,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2060,CO RO Honey Sweet,1.0,1,2,STRONG,OK,5.0,-1
2025-12-31,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2060,CO RO Honey Sweet   ,1.0,1,2,STRONG,OK,5.0,-1
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2100,CO RO Multigrain Oat,1.0,1,1,MODERATE,WATCH,5.0,0
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2120,CO RO Rocky Mt Sour,7.0,5,1,STRONG,OK,5.0,4
2025-12-31,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,2120,CO RO Rocky Mt Sour ,4.0,4,4,STRONG,OK,5.0,0
2026-03-30,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,4120,CO RO THIN RM SOUR,3.0,1,2,STRONG,OK,4.0,-1
2025-12-29,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,4120,CO RO THIN RM SOUR  ,4.0,2,2,STRONG,OK,4.0,0
2026-03-16,751,Monday,Safeway *SBT on`s #0839 - S.Ki,Littleton,32,9531,GF BRIOCHE BURGER BZ,2.0,2,0,MODERATE,WATCH,4.0,2
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,9530,CO GF Briouche Loaf ,1.0,1,5,STRONG,OK,4.0,-4
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2160,CO RO 100% Bread WW ,1.0,1,4,STRONG,OK,5.0,-3
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2040,CO RO Country Morn  ,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2352,CO RO Crckd Wht Sour,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,9500,CO RO GF HOME ORIGI ,1.0,1,6,STRONG,OK,4.0,-5
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,9450,CO RO GF SOURDOUGH  ,1.0,1,6,STRONG,OK,4.0,-5
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,9602,CO RO GF Super Seed ,1.0,1,6,MODERATE,WATCH,4.0,-5
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2060,CO RO Honey Sweet   ,3.0,3,2,MODERATE,WATCH,5.0,1
2025-12-29,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2100,CO RO Multigrain Oat,1.0,1,1,MODERATE,WATCH,5.0,0
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,2120,CO RO Rocky Mt Sour ,4.0,3,3,STRONG,OK,5.0,0
2025-12-31,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,4120,CO RO THIN RM SOUR  ,1.0,1,4,STRONG,OK,4.0,-3
2025-12-29,751,Wednesday,Safeway *SBT  #2791-Broadway &,Littleton,32,9531,GF BRIOCHE BURGER BZ,1.0,1,1,MODERATE,WATCH,4.0,0
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,9530,CO GF Briouche Loaf,1.0,1,2,STRONG,OK,4.0,-1
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2160,CO RO 100% Bread WW,2.0,2,3,STRONG,OK,5.0,-1
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2040,CO RO Country Morn,1.0,1,2,MODERATE,WATCH,5.0,-1
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2352,CO RO Crckd Wht Sour,3.0,3,3,MODERATE,WATCH,5.0,0
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,9500,CO RO GF HOME ORIGI,3.0,3,3,STRONG,OK,4.0,0
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,9450,CO RO GF SOURDOUGH,1.0,1,5,STRONG,OK,4.0,-4
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,9602,CO RO GF Super Seed,1.0,1,2,MODERATE,WATCH,4.0,-1
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2060,CO RO Honey Sweet,3.0,3,2,STRONG,OK,5.0,1
2026-03-23,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2100,CO RO Multigrain Oat,1.0,1,2,MODERATE,WATCH,5.0,-1
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,2120,CO RO Rocky Mt Sour,3.0,2,8,STRONG,OK,5.0,-6
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,4120,CO RO THIN RM SOUR,3.0,1,3,STRONG,OK,4.0,-2
2026-03-30,751,Wednesday,Safeway *SBT #2791-Broadway &,Littleton,32,9531,GF BRIOCHE BURGER BZ,1.0,1,1,MODERATE,WATCH,4.0,0
2025-12-29,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,9530,CO GF Briouche Loaf ,3.0,3,2,STRONG,OK,4.0,1
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2160,CO RO 100% Bread WW ,1.0,1,2,STRONG,OK,5.0,-1
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2040,CO RO Country Morn  ,1.0,1,1,MODERATE,WATCH,5.0,0
2025-12-29,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2352,CO RO Crckd Wht Sour,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-29,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,9500,CO RO GF HOME ORIGI ,1.0,1,2,STRONG,OK,4.0,-1
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,9450,CO RO GF SOURDOUGH  ,1.0,1,2,STRONG,OK,4.0,-1
2025-12-29,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,9602,CO RO GF Super Seed ,4.0,4,2,STRONG,OK,4.0,2
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2060,CO RO Honey Sweet   ,1.0,1,1,MODERATE,WATCH,5.0,0
2025-12-29,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2100,CO RO Multigrain Oat,2.0,2,2,MODERATE,WATCH,5.0,0
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,2120,CO RO Rocky Mt Sour ,4.0,4,1,STRONG,OK,5.0,3
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,4120,CO RO THIN RM SOUR  ,3.0,1,2,STRONG,OK,4.0,-1
2025-12-31,752,Monday,Safeway *SBT  #1446-Parker,Parker,40,9531,GF BRIOCHE BURGER BZ,1.0,1,2,MODERATE,WATCH,4.0,-1
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9530,CO GF Briouche Loaf,1.0,1,1,STRONG,OK,4.0,0
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2160,CO RO 100% Bread WW,3.0,3,1,STRONG,OK,5.0,2
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2040,CO RO Country Morn,1.0,1,1,MODERATE,WATCH,5.0,0
2026-03-13,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2352,CO RO Crckd Wht Sour,1.0,1,1,MODERATE,WATCH,5.0,0
2026-03-24,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9502,CO RO GF HOME MULTI,1.0,1,1,STRONG,OK,4.0,0
2026-03-20,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9500,CO RO GF HOME ORIGI,1.0,1,1,STRONG,OK,4.0,0
2026-03-27,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9450,CO RO GF SOURDOUGH,1.0,1,3,STRONG,OK,4.0,-2
2026-03-27,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9602,CO RO GF Super Seed,1.0,1,1,STRONG,OK,4.0,0
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2060,CO RO Honey Sweet,3.0,3,1,STRONG,OK,5.0,2
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2100,CO RO Multigrain Oat,1.0,1,1,MODERATE,WATCH,5.0,0
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,2120,CO RO Rocky Mt Sour,9.0,5,4,STRONG,OK,5.0,1
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,4120,CO RO THIN RM SOUR,3.0,1,4,STRONG,OK,4.0,-3
2026-03-31,752,Monday,Safeway *SBT #1446-Parker,Parker,40,9531,GF BRIOCHE BURGER BZ,1.0,1,2,MODERATE,WATCH,4.0,-1
2025-12-27,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,9530,CO GF Briouche Loaf ,1.0,1,3,STRONG,OK,4.0,-2
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,2040,CO RO Country Morn  ,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,2352,CO RO Crckd Wht Sour,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,9500,CO RO GF HOME ORIGI ,1.0,1,3,STRONG,OK,4.0,-2
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,9450,CO RO GF SOURDOUGH  ,1.0,1,4,STRONG,OK,4.0,-3
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,9602,CO RO GF Super Seed ,1.0,1,2,MODERATE,WATCH,4.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,2060,CO RO Honey Sweet   ,1.0,1,2,MODERATE,WATCH,5.0,-1
2025-12-27,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,2100,CO RO Multigrain Oat,3.0,3,1,MODERATE,WATCH,5.0,2
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,2120,CO RO Rocky Mt Sour ,7.0,5,8,STRONG,OK,5.0,-3
2025-12-30,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,4120,CO RO THIN RM SOUR  ,2.0,1,2,STRONG,OK,4.0,-1
2025-12-27,752,Wednesday,Safeway *SBT  #1480-S. Broadwa,Highlands Ranch,30,9531,GF BRIOCHE BURGER BZ,1.0,1,3,MODERATE,WATCH,4.0,-2
2025-12-27,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,9530,CO GF Briouche Loaf ,1.0,1,3,STRONG,OK,4.0,-2
2025-12-24,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2160,CO RO 100% Bread WW ,1.0,1,2,STRONG,OK,5.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2040,CO RO Country Morn  ,2.0,2,4,MODERATE,WATCH,5.0,-2
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2352,CO RO Crckd Wht Sour,1.0,1,1,MODERATE,WATCH,5.0,0
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,9500,CO RO GF HOME ORIGI ,1.0,1,2,STRONG,OK,4.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,9450,CO RO GF SOURDOUGH  ,2.0,2,6,STRONG,OK,4.0,-4
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,9602,CO RO GF Super Seed ,1.0,1,2,MODERATE,WATCH,4.0,-1
2025-12-27,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2060,CO RO Honey Sweet   ,1.0,1,2,STRONG,OK,5.0,-1
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2100,CO RO Multigrain Oat,1.0,1,1,MODERATE,WATCH,5.0,0
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,2120,CO RO Rocky Mt Sour ,7.0,5,8,STRONG,OK,5.0,-3
2025-12-30,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,4120,CO RO THIN RM SOUR  ,2.0,1,6,STRONG,OK,4.0,-5
2025-12-24,752,Wednesday,Safeway *SBT  #1548-E. Lincoln,Lonetree,30,9531,GF BRIOCHE BURGER BZ,1.0,1,2,MODERATE,WATCH,4.0,-1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,9530,CO GF Briouche Loaf,1.0,1,2,STRONG,OK,4.0,-1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2160,CO RO 100% Bread WW,1.0,1,2,STRONG,OK,5.0,-1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2040,CO RO Country Morn,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2352,CO RO Crckd Wht Sour,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-23,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,9500,CO RO GF HOME ORIGI,1.0,1,1,STRONG,OK,4.0,0
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,9450,CO RO GF SOURDOUGH,3.0,3,3,STRONG,OK,4.0,0
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,9602,CO RO GF Super Seed,1.0,1,2,STRONG,OK,4.0,-1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2060,CO RO Honey Sweet,1.0,1,2,STRONG,OK,5.0,-1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2100,CO RO Multigrain Oat,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,2120,CO RO Rocky Mt Sour,6.0,5,4,STRONG,OK,5.0,1
2026-03-30,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,4120,CO RO THIN RM SOUR,5.0,1,3,STRONG,OK,4.0,-2
2026-03-26,752,Wednesday,Safeway *SBT #1480-S. Broadwa,Highlands Ranch,30,9531,GF BRIOCHE BURGER BZ,1.0,1,1,MODERATE,WATCH,4.0,0
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9530,CO GF Briouche Loaf,4.0,4,0,STRONG,OK,4.0,4
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2160,CO RO 100% Bread WW,1.0,1,0,STRONG,OK,5.0,1
2026-03-26,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2040,CO RO Country Morn,1.0,1,1,MODERATE,WATCH,5.0,0
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2352,CO RO Crckd Wht Sour,1.0,1,0,MODERATE,WATCH,5.0,1
2026-03-23,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9502,CO RO GF HOME MULTI,1.0,1,0,STRONG,OK,4.0,1
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9500,CO RO GF HOME ORIGI,1.0,1,0,STRONG,OK,4.0,1
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9450,CO RO GF SOURDOUGH,4.0,4,0,STRONG,OK,4.0,4
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9602,CO RO GF Super Seed,4.0,4,0,STRONG,OK,4.0,4
2026-03-31,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2060,CO RO Honey Sweet,1.0,1,1,STRONG,OK,5.0,0
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2100,CO RO Multigrain Oat,1.0,1,0,MODERATE,WATCH,5.0,1
2026-03-31,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,2120,CO RO Rocky Mt Sour,2.0,2,6,STRONG,OK,5.0,-4
2026-03-31,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,4120,CO RO THIN RM SOUR,2.0,1,4,STRONG,OK,4.0,-3
2026-03-30,752,Wednesday,Safeway *SBT #1548-E. Lincoln,Lonetree,30,9531,GF BRIOCHE BURGER BZ,1.0,1,0,MODERATE,WATCH,4.0,1
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,9530,CO GF Briouche Loaf ,2.0,2,3,STRONG,OK,4.0,-1
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,2160,CO RO 100% Bread WW ,1.0,1,4,STRONG,OK,5.0,-3
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,2040,CO RO Country Morn  ,3.0,3,1,MODERATE,WATCH,5.0,2
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,9500,CO RO GF HOME ORIGI ,3.0,3,3,STRONG,OK,4.0,0
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,9450,CO RO GF SOURDOUGH  ,5.0,4,3,STRONG,OK,4.0,1
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,9602,CO RO GF Super Seed ,2.0,2,3,STRONG,OK,4.0,-1
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,2060,CO RO Honey Sweet   ,1.0,1,4,MODERATE,WATCH,5.0,-3
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,2100,CO RO Multigrain Oat,1.0,1,3,MODERATE,WATCH,5.0,-2
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,2120,CO RO Rocky Mt Sour ,5.0,5,9,STRONG,OK,5.0,-4
2025-12-30,753,Monday,Safeway *SBT  #2612-Aurora,Aurora,35,4120,CO RO THIN RM SOUR  ,5.0,1,10,STRONG,OK,4.0,-9
2026-03-27,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,9530,CO GF Briouche Loaf,1.0,1,3,STRONG,OK,4.0,-2
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2160,CO RO 100% Bread WW,3.0,3,2,STRONG,OK,5.0,1
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2040,CO RO Country Morn,3.0,3,1,MODERATE,WATCH,5.0,2
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2352,CO RO Crckd Wht Sour,2.0,2,2,MODERATE,WATCH,5.0,0
2026-03-27,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,9500,CO RO GF HOME ORIGI,1.0,1,2,STRONG,OK,4.0,-1
2026-03-27,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,9450,CO RO GF SOURDOUGH,1.0,1,3,STRONG,OK,4.0,-2
2026-03-24,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,9602,CO RO GF Super Seed,2.0,2,2,MODERATE,WATCH,4.0,0
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2060,CO RO Honey Sweet,4.0,4,0,STRONG,OK,5.0,4
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2100,CO RO Multigrain Oat,2.0,2,1,MODERATE,WATCH,5.0,1
2026-03-27,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,2120,CO RO Rocky Mt Sour,3.0,3,6,STRONG,OK,5.0,-3
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,4120,CO RO THIN RM SOUR,3.0,1,0,STRONG,OK,4.0,1
2026-03-31,753,Monday,Safeway *SBT #2612-Aurora,Aurora,35,9531,GF BRIOCHE BURGER BZ,1.0,1,5,MODERATE,WATCH,4.0,-4
2026-03-24,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9530,CO GF Briouche Loaf,3.0,3,5,STRONG,OK,4.0,-2
2025-12-31,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9530,CO GF Briouche Loaf ,3.0,3,4,STRONG,OK,4.0,-1
2026-03-31,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,2160,CO RO 100% Bread WW,1.0,1,2,STRONG,OK,5.0,-1
2025-12-31,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,2160,CO RO 100% Bread WW ,6.0,5,6,STRONG,OK,5.0,-1
2026-03-20,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,2040,CO RO Country Morn,1.0,1,2,MODERATE,WATCH,5.0,-1
2026-03-27,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,2352,CO RO Crckd Wht Sour,1.0,1,3,MODERATE,WATCH,5.0,-2
2026-03-24,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9500,CO RO GF HOME ORIGI,1.0,1,3,STRONG,OK,4.0,-2
2025-12-31,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9500,CO RO GF HOME ORIGI ,5.0,4,3,STRONG,OK,4.0,1
2026-03-24,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9450,CO RO GF SOURDOUGH,1.0,1,0,STRONG,OK,4.0,1
2025-12-31,753,Monday,Safeway *SBT on`s #0841-S.Buck,Aurora,35,9450,CO RO GF SOURDOUGH  ,1.0,1,3,STRONG,OK,4.0,-2
